Standard_Author	Preprints	Score	Rank
Sailu Yellaboina	1	1	29388
Saima Hilal	1	1	29388
Sainur Samad	1	2	17764
Saioa Lopez	1	1	29388
Sairam Behera	1	1	29388
Saisai Chen	1	2	17764
Saisi Xue	1	3	12013
Sajia Akhter	1	5	4631
Sajith Perera	1	1	29388
Saket Choudhary	2	8	2314
Saki Chan	1	2	17764
Sakoba Keita	1	5	4631
Sakshi Singh	1	1	29388
Sakuya Nakamura	1	5	4631
Sakyasingha Dasgupta	2	6	3650
Salah Ayoub	2	2	17764
Salil Pendse	1	2	17764
Salim Barkallah	1	1	29388
Salim Mattar	1	2	17764
Salli Vepsalainen	1	1	29388
Sallie Chisholm	1	1	29388
Sallie Permar	3	9	2005
Sally Adams	1	3	12013
Sally Baylis	2	10	1419
Sally Davies	1	3	12013
Sally Eaton	1	1	29388
Sally Guthrie	1	1	29388
Sally James	1	2	17764
Sally Lynch	1	3	12013
Sally Peach	1	5	4631
Sally Potter	1	2	17764
Sally Roberts	1	3	12013
Sally Sharpe	1	3	12013
Sally Vanden-Hehir	1	5	4631
Sally Ward	1	3	12013
Sally Warring	1	1	29388
Salman Salman	1	2	17764
Salman Tahir	1	1	29388
Salome Clemente	1	1	29388
Salome Scholtens	1	2	17764
Saloni Agrawal	1	1	29388
Salva Duran-Nebreda	1	5	4631
Salvador Almagro-Moreno	1	1	29388
Salvador Capella-Gutierrez	1	2	17764
Salvatore D'Aniello	1	2	17764
Salvatore Loguercio	1	2	17764
Salwa Zehdi	1	1	29388
Sam Brown	9	20	318
Sam Catella	1	3	12013
Sam Clark	1	5	4631
Sam Griffiths-Jones	3	9	2005
Sam Gross	1	1	29388
Sam Howison	1	2	17764
Sam Hughes	1	5	4631
Sam John	1	5	4631
Sam Johnson	1	1	29388
Sam Jones	1	2	17764
Sam Merlin	1	2	17764
Sam Mugford	3	10	1419
Sam Nichols	1	2	17764
Sam Oh	7	19	369
Sam Sheppard	2	6	3650
Sam Virtue	1	2	17764
Sam Wass	2	2	17764
Sam Weinberg	1	1	29388
Sam Willcocks	1	1	29388
Saman Sarraf	2	6	3650
Samaneh Kouchaki	1	5	4631
Samantha Brooks	1	3	12013
Samantha Cohen	4	16	532
Samantha Correia	1	1	29388
Samantha Decombel	1	3	12013
Samantha Downey	1	1	29388
Samantha Fetterolf	1	2	17764
Samantha Gieger	1	3	12013
Samantha Halliday	1	1	29388
Samantha Hartin	1	2	17764
Samantha Hindle	2	3	12013
Samantha Hughes	1	5	4631
Samantha Kitchen	1	1	29388
Samantha Madnick	1	2	17764
Samantha Nandyal	1	5	4631
Samantha O'Loughlin	1	5	4631
Samantha Praktiknjo	1	1	29388
Samantha Riccadonna	1	3	12013
Samantha Scholte	1	2	17764
Samantha Shapiro	1	2	17764
Samantha Spratley	1	1	29388
Samantha Thomas	2	8	2314
Samanwoy Mukhopadhyay	1	1	29388
Samara Reck-Peterson	1	2	17764
Samay Pande	1	1	29388
Sameed Siddiqui	1	1	29388
Sameer Chavan	2	4	10491
Sameer Prasad	1	5	4631
Sameer Sheth	1	1	29388
Sameer Singh	1	1	29388
Samer Hattar	1	3	12013
Sami Doganlar	1	2	17764
Sami Garawi	1	1	29388
Sami Virtanen	1	2	17764
Samia Joca	3	5	4631
Samia Mora	1	2	17764
Samia Naccache	3	6	3650
Samina Naseeb	1	1	29388
Samir Amin	1	2	17764
Samir Casseb	1	2	17764
Samir Das	3	15	603
Samir Hanash	1	1	29388
Samir Ounzain	1	2	17764
Samir Suweis	4	6	3650
Samira Aghayee	1	1	29388
Samira Kiani	1	1	29388
Samira Salihovic	1	3	12013
Sammy Aggery	1	1	29388
Sammy Shaker	1	5	4631
Sampsa Hautaniemi	1	5	4631
Samreen Ahmed	1	1	29388
Samsiddhi Bhattacharjee	1	1	29388
Samsoon Inayat	2	2	17764
Samual Hunter	1	3	12013
Samuel Alizon	3	3	12013
Samuel Armoo	1	3	12013
Samuel Bader	1	2	17764
Samuel Behar	1	1	29388
Samuel Bottani	1	1	29388
Samuel Brockington	2	6	3650
Samuel Carroll	1	1	29388
Samuel Cheadle	1	1	29388
Samuel Church	4	8	2314
Samuel Danziger	2	3	12013
Samuel Darko	1	1	29388
Samuel Deslauriers-Gauthier	1	1	29388
Samuel Diaz-Munoz	1	5	4631
Samuel Dominguez	1	2	17764
Samuel Flaxman	1	1	29388
Samuel Flores	1	1	29388
Samuel Friedman	7	24	203
Samuel Funt	1	5	4631
Samuel Gershman	8	22	256
Samuel Gossage	1	1	29388
Samuel Gratzl	1	2	17764
Samuel Hames	1	2	17764
Samuel Hanot	1	2	17764
Samuel Hiard	1	2	17764
Samuel Isaacson	1	3	12013
Samuel Jacobson	1	2	17764
Samuel Jones	5	18	415
Samuel Jourdan	2	4	10491
Samuel Kaffenberger	1	1	29388
Samuel Kaski	1	1	29388
Samuel Kenny	1	2	17764
Samuel Kilcher	1	3	12013
Samuel Kohtala	1	1	29388
Samuel Leiboff	1	3	12013
Samuel Lewis	2	4	10491
Samuel Lord	2	3	12013
Samuel Lucas	1	1	29388
Samuel Lukowski	1	5	4631
Samuel Marguerat	4	15	603
Samuel Martin	3	9	2005
Samuel McAfee	1	2	17764
Samuel McClure	1	1	29388
Samuel Minot	3	9	2005
Samuel Modlin	1	3	12013
Samuel Nastase	1	2	17764
Samuel Nicholls	2	10	1419
Samuel Oyola	3	4	10491
Samuel Peacock	1	1	29388
Samuel Pena-Llopis	1	1	29388
Samuel Perli	2	2	17764
Samuel Randolph	2	3	12013
Samuel Ridgeway	1	1	29388
Samuel Rund	2	3	12013
Samuel Scarpino	5	12	1012
Samuel Seaver	1	5	4631
Samuel Sheppard	4	9	2005
Samuel Sibley	1	1	29388
Samuel Sober	2	3	12013
Samuel Soubeyrand	2	4	10491
Samuel St-Jean	2	6	3650
Samuel Sternberg	2	3	12013
Samuel Tazzyman	2	3	12013
Samuel Trachsel	1	2	17764
Samuel Turvey	1	1	29388
Samuel Urmy	1	2	17764
Samuel Wanji	1	3	12013
Samuel Westreich	1	2	17764
Samuel Wilson	1	3	12013
Samuel Wolock	1	1	29388
Samuel Zambrano	1	3	12013
Samuela Pollack	4	11	1203
Samuli Ripatti	13	39	56
Sana Badri	2	4	10491
Sana Jadallah	1	2	17764
Sana Tharadra	1	2	17764
Sanaa Ahmed	2	5	4631
Sanaz Mahmazi	1	2	17764
Sanchari Bhattacharyya	3	5	4631
Sanda Zolj	1	2	17764
Sandeep Botla	1	1	29388
Sandeep Chakraborty	5	8	2314
Sandeep Datta	1	2	17764
Sandeep Joseph	1	3	12013
Sandeep Krishna	2	4	10491
Sandeep Kumar	1	2	17764
Sandeep Saini	1	2	17764
Sandeep Subramanian	1	1	29388
Sandeep Venkataram	2	3	12013
Sander Bosch	1	1	29388
Sander Canisius	1	2	17764
Sander Keemink	1	1	29388
Sander Kulu	1	5	4631
Sander Tans	1	2	17764
Sander van den Heuvel	1	2	17764
Sandhya Kharbanda	1	1	29388
Sandhya Prabhakaran	1	3	12013
Sandi Orlic	1	2	17764
Sandip Chatterjee	1	5	4631
Sandip Chavan	1	2	17764
Sandip Kar	2	2	17764
Sandip Patil	1	3	12013
Sandor Belak	1	1	29388
Sandor Berces	1	2	17764
Sandor Szilagyi	2	5	4631
Sandosh Padmanabhan	5	9	2005
Sandra Alba	1	1	29388
Sandra Bachg	1	5	4631
Sandra Bajjalieh	1	5	4631
Sandra Chantot-Bastaraud	1	5	4631
Sandra Codlin	1	5	4631
Sandra Cooper	1	1	29388
Sandra Donkervoort	1	1	29388
Sandra Gabelli	1	1	29388
Sandra Goldlust	2	7	2850
Sandra Hoffberg	2	4	10491
Sandra Imholz	1	2	17764
Sandra Kazembe	1	3	12013
Sandra Knapp	1	2	17764
Sandra Lee	1	3	12013
Sandra Louzada	3	12	1012
Sandra Markovic-Mueller	1	5	4631
Sandra Meier	1	2	17764
Sandra Moser	1	5	4631
Sandra O'keefe	1	2	17764
Sandra Oliveira	1	2	17764
Sandra Olkowski	2	5	4631
Sandra Paa	1	1	29388
Sandra Pichler	2	4	10491
Sandra Reuter	3	9	2005
Sandra Rodriguez-Perales	1	1	29388
Sandra Saez	1	2	17764
Sandra Schmid	1	5	4631
Sandra Smit	1	1	29388
Sandra Smole	1	2	17764
Sandra Steyaert	1	3	12013
Sandra Tamm	1	5	4631
Sandra Tanz	1	5	4631
Sandra Truong	2	10	1419
Sandra Unterseer	1	3	12013
Sandra Uribe	1	2	17764
Sandra Valeina	1	1	29388
Sandra Vaquero	1	1	29388
Sandra Whalen	1	5	4631
Sandrine Balzergue	1	2	17764
Sandrine Curtet	1	5	4631
Sandrine Eveillard	1	3	12013
Sandrine Hughes	3	5	4631
Sandrine Lacombe	1	2	17764
Sandrine Lagarrigue	2	3	12013
Sandrine Passemard	1	5	4631
Sandrine Pavoine	1	2	17764
Sandrine Quignard	1	1	29388
Sandrine Sanchez	1	2	17764
Sandro Andreotti	1	1	29388
Sandro Azaele	2	3	12013
Sandro Baldi	1	2	17764
Sandro Morganella	3	10	1419
Sandro Silva	1	5	4631
Sandro Sorbi	1	2	17764
Sandy Contreras	1	2	17764
Sandy Hung	2	7	2850
Sang Chun	1	2	17764
Sang Han	1	5	4631
Sang Lee	18	38	61
Sang Oh	1	1	29388
Sang Seo	1	1	29388
Sang-Choon Lee	1	3	12013
Sang-Ho Yoon	1	2	17764
Sang-Won Han	1	2	17764
Sang-Yun Oh	1	2	17764
SangYoon Chung	4	12	1012
SangYun Lee	5	23	227
Sangeeta Mangubhai	1	5	4631
Sangeetha Menon	1	2	17764
Sanggu Kim	1	2	17764
Sanghyeon Kim	1	5	4631
Sangjin Park	1	5	4631
Sangkyun Lee	1	1	29388
Sangsoo Kim	1	2	17764
Sanguthevar Rajasekaran	1	1	29388
Sangwon Kim	1	2	17764
Sangyun Lee	1	3	12013
Saniye Ozturk	1	2	17764
Sanja Jasek	2	3	12013
Sanjai Patel	1	5	4631
Sanjay Chhibber	1	1	29388
Sanjay Reddy	1	1	29388
Sanjeev Jain	1	1	29388
Sanjeev Sinha	1	2	17764
Sanjie Cao	1	5	4631
Sanjit Mukherjee	1	2	17764
Sanjuro Jogdeo	1	2	17764
Sankar Basu	1	2	17764
Sankari Nagarajan	1	3	12013
Sanna Masud	1	2	17764
Sanna Seitsonen	1	1	29388
Sanne Hendriks	1	1	29388
Sanne Westhoff	1	2	17764
Sanni Ruotsalainen	1	5	4631
Sanoosh Gamblewood	1	2	17764
Santani Teng	1	2	17764
Santeri Puranen	1	1	29388
Santhosh Girirajan	5	12	1012
Santiago Acero	1	1	29388
Santiago Carmona	1	1	29388
Santiago Doyle	2	6	3650
Santiago Elena	8	15	603
Santiago Gambon-Cerda	1	1	29388
Santiago Gonzalez	1	1	29388
Santiago Herrera	2	4	10491
Santiago Marco-Sola	1	5	4631
Santiago Naranjo	1	2	17764
Santiago Palazon	1	2	17764
Santiago Revale	2	5	4631
Santiago Rodriguez	2	4	10491
Santiago Ruiz	1	5	4631
Santiago Sanchez-Ramirez	1	2	17764
Santiago Schnell	7	25	181
Santiago Villalba	1	3	12013
Santosh Kumar	1	2	17764
Santosh Noronha	1	3	12013
Sanuki Perera	1	5	4631
Sanwen Huang	1	1	29388
Sanzhen Liu	2	3	12013
Sara Albarella	1	1	29388
Sara Ballouz	4	8	2314
Sara Carvalhal	1	2	17764
Sara Carvalho	1	1	29388
Sara Cipriani	1	2	17764
Sara Clohisey	1	3	12013
Sara Cooper	4	11	1203
Sara Cousins	1	2	17764
Sara Cuenda	2	2	17764
Sara Dorhmi	1	2	17764
Sara El-Gebali	1	5	4631
Sara Evans	1	1	29388
Sara Fuentes	2	4	10491
Sara Garcia	1	1	29388
Sara Goodwin	3	9	2005
Sara Hagg	2	4	10491
Sara Hanson	1	2	17764
Sara Have	1	2	17764
Sara Hermann	1	3	12013
Sara Hotchkiss	1	1	29388
Sara Inati	1	2	17764
Sara Jabbari	1	2	17764
Sara Kangaspeska	1	2	17764
Sara Kilmury	1	5	4631
Sara Kohnke	1	1	29388
Sara LaHue	1	3	12013
Sara Light	2	10	1419
Sara Lindstroem	1	2	17764
Sara Lindstrom	4	8	2314
Sara Lopez-Gomollon	1	2	17764
Sara Macias	1	5	4631
Sara Magalhaes	1	1	29388
Sara Manning	1	1	29388
Sara Marsal	1	2	17764
Sara Matias	2	4	10491
Sara McDevitt	1	2	17764
Sara Mederos	1	1	29388
Sara Mostafavi	4	6	3650
Sara Ohora	1	3	12013
Sara Olson	2	6	3650
Sara Orellana	1	2	17764
Sara Pagella	1	2	17764
Sara Palermo	1	1	29388
Sara Paver	1	1	29388
Sara Pulit	3	6	3650
Sara Rocha	1	2	17764
Sara Rouhanifard	1	5	4631
Sara Sabet	1	1	29388
Sara Sawyer	2	3	12013
Sara Schaal	1	2	17764
Sara Sheehan	1	2	17764
Sara Thomas-Sharma	2	4	10491
Sara Vica	1	2	17764
Sara Widaa	1	3	12013
Sara da Silva	1	1	29388
Sarab Sethi	1	3	12013
Sarada Subramanian	1	1	29388
Sarah Abdallah	1	2	17764
Sarah Anderl-Straub	1	1	29388
Sarah Auburn	2	3	12013
Sarah Ayling	2	8	2314
Sarah Barker	2	10	1419
Sarah Bastkowski	1	1	29388
Sarah Bergen	2	4	10491
Sarah Bertelsen	1	3	12013
Sarah Beul	2	2	17764
Sarah Blackford	1	5	4631
Sarah Bordenstein	1	2	17764
Sarah Bouchemousse	1	1	29388
Sarah Bourne	1	1	29388
Sarah Boyce	1	5	4631
Sarah Boyd	1	2	17764
Sarah Brooker	1	2	17764
Sarah Brotman	1	2	17764
Sarah Brown-Schmidt	1	2	17764
Sarah Bushong	1	1	29388
Sarah Caddy	2	6	3650
Sarah Callan	1	5	4631
Sarah Carl	2	6	3650
Sarah Castro-Wallace	2	4	10491
Sarah Choudury	1	1	29388
Sarah Cleaveland	1	1	29388
Sarah Cobey	1	2	17764
Sarah Cohen-Woods	1	2	17764
Sarah Connell	2	4	10491
Sarah Cook	1	5	4631
Sarah Cox	1	1	29388
Sarah Crockford	1	2	17764
Sarah Cubaynes	1	1	29388
Sarah Davies	4	10	1419
Sarah Dendievel	1	1	29388
Sarah Denny	1	5	4631
Sarah Diermeier	1	1	29388
Sarah Djebali	2	8	2314
Sarah Dobies	1	1	29388
Sarah Dunstan	1	5	4631
Sarah Earle	1	3	12013
Sarah Elderkin	1	3	12013
Sarah Elmendorf	1	2	17764
Sarah Emery	3	9	2005
Sarah Evans	1	2	17764
Sarah Everest	1	3	12013
Sarah Fansler	1	2	17764
Sarah Faulwetter	1	5	4631
Sarah Fentress	1	2	17764
Sarah Filippi	4	5	4631
Sarah Fischer	2	6	3650
Sarah Flanagan	1	5	4631
Sarah Folkerts	1	3	12013
Sarah French	1	1	29388
Sarah Gagliano	3	3	12013
Sarah Garcia	1	5	4631
Sarah Gharbi	1	2	17764
Sarah Ginschel	1	2	17764
Sarah Glaser	1	2	17764
Sarah Goldberg	2	2	17764
Sarah Guiziou	1	2	17764
Sarah Hahnke	1	2	17764
Sarah Hammarlund	2	4	10491
Sarah Harper	1	1	29388
Sarah Harris	11	12	1012
Sarah Hearne	1	2	17764
Sarah Hewitt	1	3	12013
Sarah Hill	3	13	865
Sarah Hobbie	1	1	29388
Sarah Hodge	1	5	4631
Sarah Hunt	1	5	4631
Sarah Jacobs-Helber	1	3	12013
Sarah Jarvis	2	7	2850
Sarah Jeanfavre	1	5	4631
Sarah Johnson	1	2	17764
Sarah Josway	1	2	17764
Sarah Keegan	1	2	17764
Sarah Kim-Hellmuth	1	2	17764
Sarah King	2	8	2314
Sarah Kingan	1	3	12013
Sarah Kinkel	1	3	12013
Sarah Kinkley	1	1	29388
Sarah Kittel-Schneider	1	2	17764
Sarah Kohn	1	3	12013
Sarah Kramer	1	1	29388
Sarah LaCourse	1	5	4631
Sarah Lam	2	2	17764
Sarah Langley	1	1	29388
Sarah Latty	1	1	29388
Sarah Lempriere	1	1	29388
Sarah Lewis	2	6	3650
Sarah Lindsay	1	5	4631
Sarah Lisanby	1	1	29388
Sarah Lutteropp	2	6	3650
Sarah Mah	3	7	2850
Sarah Mangiameli	1	1	29388
Sarah Markland	1	2	17764
Sarah Marsh	1	2	17764
Sarah Martin	1	1	29388
Sarah McMenamin	1	1	29388
Sarah McPherson	1	5	4631
Sarah Medland	8	14	767
Sarah Meister	1	2	17764
Sarah Metrustry	1	1	29388
Sarah Middleton	2	5	4631
Sarah Morgan	1	2	17764
Sarah Mubareka	1	1	29388
Sarah Munro	2	8	2314
Sarah Nainar	1	1	29388
Sarah Needs	1	5	4631
Sarah Oakley	1	3	12013
Sarah Ochmann	1	1	29388
Sarah Ogden	1	3	12013
Sarah Otto	2	5	4631
Sarah Pelan	1	2	17764
Sarah Pendergrass	1	5	4631
Sarah Perdersen	1	1	29388
Sarah Poon	1	5	4631
Sarah Potter	1	5	4631
Sarah Potts	1	1	29388
Sarah Proffitt	1	2	17764
Sarah Qubisi	1	1	29388
Sarah Rauscher	1	1	29388
Sarah Richardson	2	2	17764
Sarah Robertson	1	1	29388
Sarah Roels	1	3	12013
Sarah Romac	1	3	12013
Sarah Saalfeld	1	2	17764
Sarah Sandaradura	1	1	29388
Sarah Schmid	1	5	4631
Sarah Scotland	1	2	17764
Sarah Searson	2	7	2850
Sarah Sengstake	1	1	29388
Sarah Sernaker	1	3	12013
Sarah Shainker	1	1	29388
Sarah Shultz	1	2	17764
Sarah Smith	1	1	29388
Sarah Smithson	1	3	12013
Sarah South	1	1	29388
Sarah Spain	3	5	4631
Sarah Spendlove	1	5	4631
Sarah Stahl	1	2	17764
Sarah Stern	1	1	29388
Sarah Stevens	1	3	12013
Sarah Stockwell	1	3	12013
Sarah Strycharz-Glaven	1	5	4631
Sarah Swope	1	1	29388
Sarah Tannenbaum	1	1	29388
Sarah Teichmann	6	16	532
Sarah Thorwall	1	2	17764
Sarah Tighe	1	2	17764
Sarah Tishkoff	2	4	10491
Sarah Turner	1	1	29388
Sarah Urbut	1	2	17764
Sarah Van Driesche	1	2	17764
Sarah Veatch	1	1	29388
Sarah Vitak	1	1	29388
Sarah Von Grebmer Zu Wolfsthurn	1	2	17764
Sarah Vowler	1	3	12013
Sarah Wagner	1	5	4631
Sarah Wallwark	1	3	12013
Sarah Warren	1	3	12013
Sarah Weinecke	1	1	29388
Sarah Westcott	1	5	4631
Sarah Wheelan	2	7	2850
Sarah Wilcox	1	3	12013
Sarah Winnicki	3	7	2850
Sarah Wolf	1	2	17764
Sarah Woolley	1	2	17764
Sarah Wordsworth	1	5	4631
Sarah Yeo	2	10	1419
Sarah Young	1	5	4631
Sarah Zeiner	1	1	29388
Sarah Zhang	1	5	4631
Sarah-Jayne Blakemore	1	1	29388
Sarahi Garcia	3	10	1419
Sarai Meyer	1	2	17764
Sarala Wimalaratne	2	8	2314
Sarangam Majumdar	8	19	369
Sardana Fedorova	2	7	2850
Sardar Karash	1	2	17764
Sari Lauri	1	1	29388
Sarika Gupta	1	1	29388
Sarika Jalan	2	4	10491
Sarit Agasti	1	1	29388
Sarit Anava	1	3	12013
Sarita Hebbar	1	2	17764
Sarita Paranjpe	1	5	4631
Sarju Mehta	2	5	4631
Sarka Pospisilova	1	2	17764
Saroj Mohapatra	2	2	17764
Saroj Vasundharan	1	2	17764
Sarosh Fatakia	2	2	17764
Sarven Sabunciyan	1	3	12013
Sascha Dehler	1	2	17764
Sascha Hilgenfeldt	1	1	29388
Sascha Sauer	1	3	12013
Sascha Steinbiss	1	1	29388
Sasha Ames	1	3	12013
Sasha Bernatsky	1	2	17764
Sasha Dall	1	5	4631
Sasha Levy	1	1	29388
Sasha Targ	1	1	29388
Sasha Zaranek	1	3	12013
Sashank Prasad	1	2	17764
Sashikant Dubey	1	2	17764
Sasidhar Madugula	1	1	29388
Sasithon Pukrittayakamee	1	2	17764
Sasithorn Chotewutmontri	1	1	29388
Saskia Egarter	1	2	17764
Saskia Hagenaars	13	15	603
Saskia Hogenhout	3	6	3650
Saskia Pfrengle	2	7	2850
Saskia Smits	1	3	12013
Saskia Steinmann	1	2	17764
Saskia Tobias	1	2	17764
Saskia Van Wees	2	3	12013
Sassan Asgari	1	1	29388
Saswata Sarkar	3	4	10491
Satdip Kaur	1	5	4631
Satheesh Nair	2	7	2850
Sathish Natarajan	1	5	4631
Sathyapriya Rajagopal	1	2	17764
Satish Nandakumar	1	3	12013
Satish Rao	1	5	4631
Satoko Narita	1	1	29388
Satomi Kohno	2	4	10491
Satomi Mitsuhashi	1	1	29388
Satoru Hayasaka	1	2	17764
Satoru Miyano	5	15	603
Satoshi Baba	1	2	17764
Satoshi Ito	1	1	29388
Satoshi Kozawa	1	1	29388
Satoshi Mizuta	1	2	17764
Satrajit Ghosh	7	33	96
Satria Kautsar	1	5	4631
Satsuki Endo	1	1	29388
Satu Mannisto	3	15	603
Satwant Kaur	1	1	29388
Satya Arjunan	1	2	17764
Satya Prakash	2	3	12013
Satyajit Mayor	3	5	4631
Satyamurthy Kundharapu	1	1	29388
Satyendra Tripathi	1	1	29388
Saul Chemonges	1	2	17764
Saul Faust	1	2	17764
Saumil Patel	1	2	17764
Saumya Gupta	2	6	3650
Saurabh Asthana	1	2	17764
Saurabh Gupta	3	9	2005
Saurabh Mehta	2	3	12013
Saurabh Mishra	1	1	29388
Saurabh Modi	1	2	17764
Saurabh Sinha	1	1	29388
Saurav Sharma	1	1	29388
Savannah Logan	1	2	17764
Saverio Capuano	4	12	1012
Savita Chib	1	1	29388
Savraj Grewal	1	1	29388
Sawsan Kanj	1	2	17764
Sawyer Clement	1	1	29388
Sawyer Hescock	1	5	4631
Sayaka Ri	1	2	17764
Sayaka Sekine	1	2	17764
Sayan Mukherjee	8	19	369
Sayantan Das	2	4	10491
Sayed Mozhgani	1	1	29388
Sayran Saber	1	1	29388
Sayyad Ali	1	1	29388
Sazaly AbuBakar	1	1	29388
Schraga Schwartz	1	1	29388
Scot Federman	3	6	3650
Scot Hill	1	1	29388
Scot Hulbert	1	5	4631
Scott Allen	1	1	29388
Scott Aoki	1	2	17764
Scott Armstrong	3	3	12013
Scott Atwell	1	1	29388
Scott Baraban	1	2	17764
Scott Beatson	1	3	12013
Scott Belcher	2	4	10491
Scott Bottoms	1	1	29388
Scott Bright	1	2	17764
Scott Brouilette	1	2	17764
Scott Chasalow	1	5	4631
Scott Cole	1	3	12013
Scott Coonrod	1	5	4631
Scott Crow	1	2	17764
Scott Curran	1	2	17764
Scott Davis	1	1	29388
Scott Dawson	3	6	3650
Scott Devoid	1	5	4631
Scott Dudek	1	5	4631
Scott Edmunds	1	5	4631
Scott Edwards	1	1	29388
Scott Emrich	3	8	2314
Scott Ethe-Sayers	1	3	12013
Scott Fears	1	1	29388
Scott Federhen	1	5	4631
Scott Ficarro	1	1	29388
Scott Filler	1	1	29388
Scott France	1	2	17764
Scott Freeman	1	2	17764
Scott Funkhouser	1	2	17764
Scott Furlan	1	2	17764
Scott Gilbert	1	2	17764
Scott Gladstein	1	1	29388
Scott Gordon	1	1	29388
Scott Gradia	1	5	4631
Scott Grafton	2	7	2850
Scott Griffiths	1	2	17764
Scott Grindy	1	2	17764
Scott Halstead	1	1	29388
Scott Hansen	1	2	17764
Scott Hemby	1	5	4631
Scott Henderson	1	1	29388
Scott Hennigan	1	2	17764
Scott Hensley	1	5	4631
Scott Huettel	1	5	4631
Scott Huntsman	2	10	1419
Scott Huntsmann	1	3	12013
Scott Jackson	3	11	1203
Scott Keeney	6	15	603
Scott Krauss	1	1	29388
Scott Linderman	1	5	4631
Scott Lujan	1	2	17764
Scott Lundberg	1	1	29388
Scott Makeig	2	6	3650
Scott McCairns	1	2	17764
Scott McCue	2	2	17764
Scott McKinley	3	12	1012
Scott McPhillps	1	5	4631
Scott Michael	3	6	3650
Scott Norton	2	5	4631
Scott Olesen	2	8	2314
Scott Parkinson	1	2	17764
Scott Powers	1	1	29388
Scott Rice	1	3	12013
Scott Rifkin	2	5	4631
Scott Ritchie	3	15	603
Scott Ritter	1	1	29388
Scott Robinson	1	1	29388
Scott Roy	3	12	1012
Scott Russo	1	1	29388
Scott Simpkins	4	8	2314
Scott Small	1	5	4631
Scott Smith	1	1	29388
Scott Tebbutt	1	2	17764
Scott Tebutt	1	2	17764
Scott Vrieze	1	2	17764
Scott Walk	1	1	29388
Scott Weaver	2	5	4631
Scott Williams	1	1	29388
Sea Hwang	1	1	29388
Seamus Fanning	1	5	4631
Seamus Holden	1	3	12013
Seamus O'Reilly	1	2	17764
Sean Agbor-Enoh	1	1	29388
Sean Berthrong	1	3	12013
Sean Blum	1	1	29388
Sean Booth	1	2	17764
Sean Boyle	1	2	17764
Sean Brady	2	3	12013
Sean Buchanan	3	13	865
Sean Burgess	3	8	2314
Sean Bush	1	1	29388
Sean Buskirk	1	1	29388
Sean Byars	4	14	767
Sean Carroll	1	1	29388
Sean Crosson	1	2	17764
Sean Crowe	1	1	29388
Sean Davey	1	3	12013
Sean Davis	1	5	4631
Sean Dixon	1	1	29388
Sean Ekins	1	5	4631
Sean Farley	1	2	17764
Sean Gordon	1	1	29388
Sean Graham	1	2	17764
Sean Holden	1	5	4631
Sean Huff	1	1	29388
Sean Hughes	2	4	10491
Sean Humphray	2	7	2850
Sean Irvine	2	5	4631
Sean Kennedy	2	5	4631
Sean Llewellyn	1	5	4631
Sean Mackey	1	3	12013
Sean McAllister	1	5	4631
Sean McDermott	1	5	4631
Sean McElwain	2	2	17764
Sean McGrath	2	7	2850
Sean McGroty	1	2	17764
Sean McIlwain	1	1	29388
Sean McKenzie	1	1	29388
Sean McWilliam	1	1	29388
Sean Mooney	1	1	29388
Sean Mullarkey	1	2	17764
Sean O'Donnell	1	2	17764
Sean O'Donoghue	1	5	4631
Sean O'Rourke	2	2	17764
Sean Polyn	1	2	17764
Sean Ruddy	1	1	29388
Sean Ryder	1	3	12013
Sean Simmons	1	1	29388
Sean Stankowski	1	2	17764
Sean Sun	1	1	29388
Sean Sweeney	3	8	2314
Sean Sykes	1	5	4631
Sean Taverna	1	2	17764
Sean Tavtigian	2	4	10491
Sean Thomas	1	2	17764
Sean Whalen	2	4	10491
Seana Lymer	1	1	29388
Sebastia Franch-Exposito	1	1	29388
Sebastiaan van Kessel	1	3	12013
Sebastian Becker	1	3	12013
Sebastian Bellotti	1	3	12013
Sebastian Boecker	1	3	12013
Sebastian Boland	1	1	29388
Sebastian Bonhoeffer	4	8	2314
Sebastian Brauchi	1	2	17764
Sebastian Burgstaller	1	5	4631
Sebastian Burgstaller-Muehlbacher	2	10	1419
Sebastian Burgstaller-Muelhbacher	1	5	4631
Sebastian Cachero	2	4	10491
Sebastian Castillo-Hair	1	2	17764
Sebastian Deindl	1	5	4631
Sebastian Duchene	3	6	3650
Sebastian Froehler	1	2	17764
Sebastian Fuerthauer	1	1	29388
Sebastian Funk	2	10	1419
Sebastian Gaigg	1	1	29388
Sebastian Gerety	1	3	12013
Sebastian Goetze	1	5	4631
Sebastian Graf	1	3	12013
Sebastian Gronke	1	3	12013
Sebastian Hadjiantoniou	1	2	17764
Sebastian Hoehna	2	10	1419
Sebastian Hohna	2	2	17764
Sebastian Igelmann	1	1	29388
Sebastian Johnston	2	6	3650
Sebastian Karcher	1	5	4631
Sebastian Kelm	1	1	29388
Sebastian Kliwicki	1	2	17764
Sebastian Koehler	3	15	603
Sebastian Kohler	1	5	4631
Sebastian Konietzny	1	1	29388
Sebastian Lequime	1	2	17764
Sebastian Lippold	2	4	10491
Sebastian Lucker	1	5	4631
Sebastian Lunke	1	1	29388
Sebastian Mackowiak	1	1	29388
Sebastian Maerkl	5	17	473
Sebastian Matuszewski	5	10	1419
Sebastian Meyer	1	5	4631
Sebastian Pardo	2	2	17764
Sebastian Patzke	1	1	29388
