Standard_Author	Preprints	Score	Rank
Alejandro Reyes	1	5	4631
Alejandro Rojas-Fernandez	1	1	29388
Alejandro Romero	1	5	4631
Alejandro Sifrim	4	10	1419
Alejandro Stern	1	2	17764
Alejandro Vignoni	1	2	17764
Alejandro Wences	2	5	4631
Alejandro de la Vega	1	5	4631
Alekhya Munagala	1	2	17764
Aleksander Cvjetkovic	1	1	29388
Aleksander Popel	1	1	29388
Aleksander Szczurek	1	3	12013
Aleksandr Khokhlov	2	4	10491
Aleksandr Morgulis	1	3	12013
Aleksandr Sahakyan	1	2	17764
Aleksandr Sidoruk	1	3	12013
Aleksandra Berditchevskaia	2	8	2314
Aleksandra Denisin	1	1	29388
Aleksandra Karolak	1	2	17764
Aleksandra Klimas	1	1	29388
Aleksandra Kolodziejczyk	1	3	12013
Aleksandra Kuznetsova	1	5	4631
Aleksandra Nita-Lazar	1	2	17764
Aleksandra Pawlik	1	5	4631
Aleksandra Pekowska	2	7	2850
Aleksandra Radenovic	1	1	29388
Aleksandra Tarkowska	1	5	4631
Aleksandra Walczak	13	13	865
Aleksei Bunevich	1	1	29388
Aleksej Zelezniak	1	1	29388
Aleksey Belikov	2	4	10491
Aleksey Jironkin	1	2	17764
Aleksey Komissarov	1	5	4631
Aleksey Shatunov	1	2	17764
Aleksey Zimin	1	3	12013
Alena Khmelinskaia	1	2	17764
Alena Kubatova	1	2	17764
Alena Kushniarevich	1	2	17764
Alena Stancakova	1	5	4631
Alessandra Agresti	1	3	12013
Alessandra Angelucci	1	2	17764
Alessandra Breschi	1	3	12013
Alessandra Crisa	1	2	17764
Alessandra Livigni	1	1	29388
Alessandra Lutz	1	2	17764
Alessandra Mascarello	2	7	2850
Alessandra Merenda	1	1	29388
Alessandra Pirola	1	1	29388
Alessandra Robillard	1	5	4631
Alessandra Sullivan	1	2	17764
Alessandra Torre	1	5	4631
Alessandro Achilli	1	2	17764
Alessandro Barardi	1	2	17764
Alessandro Barducci	1	2	17764
Alessandro Boianelli	1	2	17764
Alessandro Cellerino	4	8	2314
Alessandro Daducci	3	6	3650
Alessandro Ferreira	1	5	4631
Alessandro Gialluisi	1	2	17764
