DOI	Date	License
10.1101/006510	2014-06-24	CC BY
10.1101/006544	2015-12-23	CC BY-NC-ND
10.1101/006551	2014-06-24	CC BY-NC-ND
10.1101/006569	2014-06-25	CC BY-ND
10.1101/006577	2014-06-25	None
10.1101/006585	2014-06-26	CC BY
10.1101/006593	2014-06-25	None
10.1101/006601	2014-06-25	CC BY
10.1101/006619	2014-06-25	None
10.1101/006627	2014-07-28	CC BY
10.1101/006635	2014-09-09	CC BY-NC-ND
10.1101/006643	2014-06-27	CC BY
10.1101/006650	2014-06-27	CC BY
10.1101/006676	2014-06-27	None
10.1101/006684	2014-11-10	CC BY-NC-ND
10.1101/006692	2014-06-27	CC BY
10.1101/006700	2014-06-28	CC BY-NC
10.1101/006726	2014-06-28	None
10.1101/006734	2014-06-28	CC BY-NC-ND
10.1101/006742	2014-06-28	CC BY-NC-ND
10.1101/006775	2014-07-02	CC BY-NC
10.1101/006783	2015-01-20	CC BY-ND
10.1101/006791	2014-10-24	CC BY-NC-ND
10.1101/006809	2014-07-17	CC BY-NC-ND
10.1101/006817	2014-07-14	None
10.1101/006825	2014-09-11	None
10.1101/006833	2014-07-07	CC BY-NC-ND
10.1101/006841	2014-07-03	CC BY-NC
10.1101/006866	2014-07-03	CC BY-NC
10.1101/006890	2014-07-03	None
10.1101/006908	2014-07-07	CC BY
10.1101/006916	2014-07-04	None
10.1101/006924	2014-07-08	None
10.1101/006932	2014-07-25	CC BY
10.1101/006940	2015-09-09	CC BY
10.1101/006965	2014-07-08	None
10.1101/006973	2014-07-08	None
10.1101/006981	2014-07-09	CC BY-NC-ND
10.1101/006999	2014-07-10	CC BY-NC
10.1101/007005	2014-10-20	CC BY-NC-ND
10.1101/007021	2014-07-11	CC BY-NC-ND
10.1101/007039	2014-08-21	CC BY-NC-ND
10.1101/007047	2014-09-05	CC BY-NC-ND
10.1101/007054	2014-07-11	CC BY
10.1101/007062	2014-07-11	CC BY-NC
10.1101/007088	2014-07-14	CC BY-NC-ND
10.1101/007096	2014-08-25	None
10.1101/007112	2014-07-15	None
10.1101/007120	2014-08-29	CC BY-NC-ND
10.1101/007153	2014-07-15	CC BY-NC-ND
10.1101/007161	2014-07-16	CC BY-NC-ND
10.1101/007187	2014-07-16	CC BY
10.1101/007203	2014-07-17	CC BY-ND
10.1101/007211	2014-07-17	CC BY-NC
10.1101/007229	2014-07-17	CC BY
10.1101/007237	2014-07-18	CC BY-NC-ND
10.1101/007252	2015-04-01	CC BY-ND
10.1101/007260	2014-07-19	CC BY-ND
10.1101/007278	2014-07-21	None
10.1101/007294	2014-07-21	CC BY-ND
10.1101/007310	2014-08-19	None
10.1101/007336	2014-07-21	CC BY
10.1101/007344	2014-07-31	CC BY-NC-ND
10.1101/007351	2014-10-20	CC BY-NC-ND
10.1101/007369	2014-12-05	CC BY-ND
