doi	date	subjects	license	version
10.1101/045567	March 24, 2016	Biochemistry	CC BY-ND	4.0
10.1101/045542	March 24, 2016	Plant Biology	CC BY	4.0
10.1101/045609	March 24, 2016	Developmental Biology	CC BY	4.0
10.1101/045583	March 24, 2016	Ecology	CC BY-ND	4.0
10.1101/045526	March 24, 2016	Bioinformatics	CC BY	4.0
10.1101/042945	March 24, 2016	Genomics	CC BY-ND	4.0
10.1101/045468	March 24, 2016	Ecology	CC BY-ND	4.0
10.1101/045518	March 24, 2016	Systems Biology	CC BY-NC-ND	4.0
10.1101/027102	March 24, 2016	Neuroscience	CC BY-NC	4.0
10.1101/036780	March 24, 2016	Evolutionary Biology	CC BY-NC	4.0
10.1101/022707	March 24, 2016	Bioinformatics	CC BY	4.0
10.1101/045443	March 24, 2016	Microbiology		
10.1101/045336	March 24, 2016	Neuroscience		
10.1101/045369	March 24, 2016	Evolutionary Biology		
10.1101/045344	March 24, 2016	Immunology	CC BY-ND	4.0
10.1101/045427	March 24, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/045450	March 24, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/043612	March 23, 2016	Bioinformatics		
10.1101/045310	March 23, 2016	Bioengineering	CC BY-NC-ND	4.0
10.1101/045435	March 23, 2016	Biophysics	CC BY-ND	4.0
10.1101/045385	March 23, 2016	Evolutionary Biology		
10.1101/045179	March 23, 2016	Microbiology		
10.1101/043992	March 23, 2016	Evolutionary Biology	CC BY-ND	4.0
10.1101/045328	March 23, 2016	Bioengineering	CC BY-NC-ND	4.0
10.1101/045054	March 23, 2016	Biophysics		
10.1101/045195	March 23, 2016	Evolutionary Biology	CC BY	4.0
10.1101/045286	March 23, 2016	Ecology		
10.1101/045278	March 23, 2016	Molecular Biology	CC BY-ND	4.0
10.1101/045294	March 23, 2016	Bioengineering	CC BY-NC-ND	4.0
10.1101/045252	March 23, 2016	Neuroscience	CC BY-NC-ND	4.0
10.1101/045260	March 23, 2016	Bioinformatics	CC BY	4.0
10.1101/045187	March 23, 2016	Developmental Biology		
10.1101/039750	March 23, 2016	Animal Behavior and Cognition		
10.1101/033613	March 23, 2016	Bioinformatics	CC BY	4.0
10.1101/017350	March 23, 2016	Neuroscience	CC BY-NC-ND	4.0
10.1101/045211	March 22, 2016	Evolutionary Biology		
10.1101/045237	March 22, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/045245	March 22, 2016	Neuroscience	CC BY-NC-ND	4.0
10.1101/032078	March 22, 2016	Developmental Biology	CC BY-NC-ND	4.0
10.1101/045161	March 22, 2016	Genomics	CC BY	4.0
10.1101/038257	March 22, 2016	Plant Biology	CC BY	4.0
10.1101/045096	March 22, 2016	Evolutionary Biology	CC BY-ND	4.0
10.1101/033852	March 22, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/045146	March 22, 2016	Cell Biology		
10.1101/044412	March 22, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/033514	March 22, 2016	Ecology	CC BY-NC-ND	4.0
10.1101/020230	March 22, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/044933	March 22, 2016	Ecology	CC BY-NC	4.0
10.1101/040642	March 22, 2016	Neuroscience	CC BY-NC-ND	4.0
10.1101/025551	March 22, 2016	Genomics	CC BY	4.0
10.1101/045070	March 22, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/045039	March 21, 2016	Evolutionary Biology	CC BY-ND	4.0
10.1101/045088	March 21, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/044669	March 21, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/044370	March 21, 2016	Microbiology		
10.1101/045021	March 21, 2016	Bioinformatics	CC BY-NC	4.0
10.1101/044172	March 21, 2016	Genomics		
10.1101/045047	March 21, 2016	Genomics	CC BY	4.0
10.1101/044941	March 21, 2016	Evolutionary Biology	CC BY	4.0
10.1101/045013	March 21, 2016	Genomics		
10.1101/033423	March 21, 2016	Molecular Biology	CC BY-NC-ND	4.0
10.1101/044917	March 21, 2016	Genetics	CC BY	4.0
10.1101/044958	March 21, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/044974	March 21, 2016	Neuroscience		
10.1101/044982	March 21, 2016	Plant Biology	CC BY-NC	4.0
10.1101/044966	March 21, 2016	Bioinformatics	CC BY	4.0
10.1101/033969	March 21, 2016	Animal Behavior and Cognition	CC BY	4.0
10.1101/034256	March 21, 2016	Evolutionary Biology	CC BY	4.0
10.1101/020701	March 21, 2016	Animal Behavior and Cognition	CC BY	4.0
10.1101/038299	March 21, 2016	Evolutionary Biology	CC BY	4.0
10.1101/044818	March 21, 2016	Systems Biology	CC BY-NC-ND	4.0
10.1101/044859	March 21, 2016	Paleontology	CC BY	4.0
10.1101/044875	March 21, 2016	Pharmacology	CC BY-NC-ND	4.0
10.1101/044925	March 20, 2016	Genomics		
10.1101/044909	March 20, 2016	Bioinformatics		
10.1101/028381	March 20, 2016	Systems Biology		
