DOI	Author	Standard_Author
10.1101/068635	Olivier Delaneau	Olivier Delaneau
10.1101/068643	Alison D Murray	Alison Murray
10.1101/068643	Andrew M McIntosh	Andrew McIntosh
10.1101/068643	Blair H Smith	Blair Smith
10.1101/068643	Caroline Hayward	Caroline Hayward
10.1101/068643	Chris S Haley	Chris Haley
10.1101/068643	David J Porteous	David Porteous
10.1101/068643	David M Howard	David Howard
10.1101/068643	Ian J Deary	Ian Deary
10.1101/068643	Jonathan D Hafferty	Jonathan Hafferty
10.1101/068643	Kathryn L Evans	Kathryn Evans
10.1101/068643	Lynsey S Hall	Lynsey Hall
10.1101/068643	Mark J Adams	Mark Adams
10.1101/068643	Niamh M Ryan	Niamh Ryan
10.1101/068643	Pippa A Thomson	Pippa Thomson
10.1101/068643	Toni-Kim Clarke	Toni-Kim Clarke
10.1101/068643	Yanni Zeng	Yanni Zeng
10.1101/068668	Alexander Loewer	Alexander Loewer
10.1101/068668	Ana Finzel	Ana Finzel
10.1101/068668	Dhana Friedrich	Dhana Friedrich
10.1101/068668	Elena Christiano	Elena Christiano
10.1101/068668	Gregor Moenke	Gregor Moenke
10.1101/068668	Hanspeter Herzel	Hanspeter Herzel
10.1101/068668	Martin Falcke	Martin Falcke
10.1101/068676	Alassane Mbengue	Alassane Mbengue
10.1101/068676	Kasturi Haldar	Kasturi Haldar
10.1101/068676	Pragya Namdev	Pragya Namdev
10.1101/068676	Souvik Bhattacharjee	Souvik Bhattacharjee
10.1101/068676	Tarkeshwar Kumar	Tarkeshwar Kumar
10.1101/068684	Buhm Han	Buhm Han
10.1101/068684	Elena Lopez-Isac	Elena Lopez-Isac
10.1101/068684	Emmanuel Mignot	Emmanuel Mignot
10.1101/068684	Hanna M Ollila	Hanna Ollila
10.1101/068684	Javier Martin	Javier Martin
10.1101/068684	Jennie G Pouget	Jennie Pouget
10.1101/068684	Jo Knight	Jo Knight
10.1101/068684	Jonathan Barker	Jonathan Barker
10.1101/068684	Lara Bossini-Castillo	Lara Bossini-Castillo
10.1101/068684	Maureen D Mayes	Maureen Mayes
10.1101/068684	Nick Dand	Nick Dand
10.1101/068684	Richard A Spritz	Richard Spritz
10.1101/068684	Richard Trembath	Richard Trembath
10.1101/068684	Sarah Spain	Sarah Spain
10.1101/068684	Soumya Raychaudhuri	Soumya Raychaudhuri
10.1101/068684	Stephanie Santorico	Stephanie Santorico
10.1101/068684	Ying Jin	Ying Jin
10.1101/068692	Brian K. Shoichet	Brian Shoichet
10.1101/068692	Eugen Lounkine	Eugen Lounkine
10.1101/068692	Laszlo Urban	Laszlo Urban
10.1101/068692	Mateusz Maciejewski	Mateusz Maciejewski
10.1101/068692	Pierre Farmer	Pierre Farmer
10.1101/068692	Steven Whitebread	Steven Whitebread
10.1101/068718	Joshua G Schraiber	Joshua Schraiber
10.1101/068718	Mariah Weavil-Abueg	Mariah Weavil-Abueg
10.1101/068726	Chenxi Qiu	Chenxi Qiu
10.1101/068726	Craig D. Kaplan	Craig Kaplan
10.1101/068726	Huiyan Jin	Huiyan Jin
10.1101/068726	Jan Van den Brulle	Jan Van den Brulle
10.1101/068726	Jui Dave	Jui Dave
10.1101/068726	Kenny C. Lam	Kenny Lam
10.1101/068726	Leung K. Tang	Leung Tang
10.1101/068726	Nandhini Muthukrishnan	Nandhini Muthukrishnan
10.1101/068726	Olivia C. Erinne	Olivia Erinne
10.1101/068726	Paul J. Vandeventer	Paul Vandeventer
10.1101/068726	Ping Cui	Ping Cui
10.1101/068726	Ralf Strohner	Ralf Strohner
10.1101/068726	Sabareesh Ganesh Babu	Sabareesh Babu
10.1101/068726	Sing-Hoi Sze	Sing-Hoi Sze
10.1101/068734	Brian Egan	Brian Egan
10.1101/068734	Heather M Williams	Heather Williams
10.1101/068734	Katharina Dittmar	Katharina Dittmar
10.1101/068742	Douglas Koshland	Douglas Koshland
10.1101/068742	Jeremy D. Amon	Jeremy Amon
10.1101/068759	Guilherme Innocentini	Guilherme Innocentini
10.1101/068759	Jerome Bonnet	Jerome Bonnet
10.1101/068759	Ovidiu Radulescu	Ovidiu Radulescu
10.1101/068759	Sarah Guiziou	Sarah Guiziou
10.1101/068767	Amitabh Verma	Amitabh Verma
10.1101/068767	Amy S Gladfelter	Amy Gladfelter
10.1101/068767	Molly McQuilken	Molly McQuilken
10.1101/068767	Patricia Occhipinti	Patricia Occhipinti
10.1101/068767	Patrick La Riviere	Patrick La Riviere
10.1101/068767	Rudolf Oldenbourg	Rudolf Oldenbourg
10.1101/068767	Shalin B Mehta	Shalin Mehta
10.1101/068767	Tomomi Tani	Tomomi Tani
10.1101/068775	Joshua W. K. Ho	Joshua Ho
10.1101/068775	Michael Troup	Michael Troup
10.1101/068775	Peijie Lin	Peijie Lin
10.1101/068783	Andreas Hejnol	Andreas Hejnol
10.1101/068783	Bruno Cossermelli Vellutini	Bruno Vellutini
10.1101/068783	Jose M Martin-Duran	Jose Martin-Duran
10.1101/068791	Christian Yates	Christian Yates
10.1101/068791	Matthew Ford	Matthew Ford
10.1101/068791	Richard Mort	Richard Mort
10.1101/068791	Robert Ross	Robert Ross
10.1101/068791	Ruth Baker	Ruth Baker
10.1101/068809	Andrew J Heron	Andrew Heron
10.1101/068809	Anthony Warland	Anthony Warland
10.1101/068809	Botond Sipos	Botond Sipos
10.1101/068809	Chris Wright	Chris Wright
10.1101/068809	Daniel J Turner	Daniel Turner
10.1101/068809	Daniel Jachimowicz	Daniel Jachimowicz
10.1101/068809	Daniel R Garalde	Daniel Garalde
10.1101/068809	Elizabeth A Snell	Elizabeth Snell
10.1101/068809	James Clarke	James Clarke
10.1101/068809	Javier Blasco	Javier Blasco
10.1101/068809	Jayne Wallace	Jayne Wallace
10.1101/068809	Jemma Keenan	Jemma Keenan
10.1101/068809	Jonah Ciccone	Jonah Ciccone
10.1101/068809	Joseph Lloyd	Joseph Lloyd
10.1101/068809	Lakmal Jayasinghe	Lakmal Jayasinghe
10.1101/068809	Luke McNeill	Luke McNeill
10.1101/068809	Mark Bruce	Mark Bruce
10.1101/068809	Nadia Pantic	Nadia Pantic
10.1101/068809	Sabrina Serra	Sabrina Serra
10.1101/068809	Samuel Martin	Samuel Martin
10.1101/068809	Sissel Juul	Sissel Juul
10.1101/068809	Stephen Young	Stephen Young
10.1101/068809	Tigist Admassu	Tigist Admassu
10.1101/068817	Alireza Gholami	Alireza Gholami
10.1101/068817	Behrouz Vaziri	Behrouz Vaziri
10.1101/068817	Farsheed Noorbakhsh	Farsheed Noorbakhsh
10.1101/068817	Hamid Gholami Pourbadie	Hamid Pourbadie
10.1101/068817	Mehdi Mirzaie	Mehdi Mirzaie
10.1101/068817	Mohieddin Jafari	Mohieddin Jafari
10.1101/068817	Naser Ansari-Pour	Naser Ansari-Pour
10.1101/068817	Sadegh Azimzadeh Jamalkandi	Sadegh Jamalkandi
10.1101/068817	Sayed Hamid Reza Mozhgani	Sayed Mozhgani
10.1101/068825	Antonio Tugores	Antonio Tugores
10.1101/068825	Deyan Guacaran	Deyan Guacaran
10.1101/068825	Pascual Lorente-Arencibia	Pascual Lorente-Arencibia
10.1101/068833	Ian C Scott	Ian Scott
10.1101/068833	Justin W Kenney	Justin Kenney
10.1101/068833	Paul W Frankland	Paul Frankland
10.1101/068833	Sheena A Josselyn	Sheena Josselyn
10.1101/068841	Catherine Hanson	Catherine Hanson
10.1101/068841	Clark Glymour	Clark Glymour
10.1101/068841	Dana Mastrovito	Dana Mastrovito
10.1101/068841	Joe Ramsey	Joe Ramsey
10.1101/068841	Stephen Jose Hanson	Stephen Hanson
10.1101/068858	Michael Lauer	Michael Lauer
10.1101/068866	Alice Luo Clayton	Alice Clayton
10.1101/068866	Anirvan Ghosh	Anirvan Ghosh
10.1101/068866	Barbara Biemans	Barbara Biemans
10.1101/068866	Daniela Brunner	Daniela Brunner
10.1101/068866	Dansha He	Dansha He
10.1101/068866	Emily Sabath	Emily Sabath
10.1101/068866	Jane Sutphen	Jane Sutphen
10.1101/068866	Kimberly Cox	Kimberly Cox
10.1101/068866	Lucinda Thiede	Lucinda Thiede
10.1101/068866	Marta Benedetti	Marta Benedetti
10.1101/068866	Pamela A Fazio	Pamela Fazio
10.1101/068866	Pamela Feliciano	Pamela Feliciano
10.1101/068866	Patricia A Kabitzke	Patricia Kabitzke
10.1101/068866	Randall Rasmusson	Randall Rasmusson
10.1101/068866	Taleen Hanania	Taleen Hanania
10.1101/068866	Vadim Alexandrov	Vadim Alexandrov
10.1101/068866	Will Spooren	Will Spooren
10.1101/068882	Alfonso Martinez Arias	Alfonso Arias
10.1101/068882	Benjamin Steventon	Benjamin Steventon
10.1101/068908	Kenneth Berendzen	Kenneth Berendzen
10.1101/068908	Markus Wunderlich	Markus Wunderlich
10.1101/068908	Niklas Schandry	Niklas Schandry
10.1101/068908	Orlando de Lange	Orlando de Lange
10.1101/068908	Thomas Lahaye	Thomas Lahaye
10.1101/068916	Lu Zhao	Lu Zhao
10.1101/068916	Sasha F. Levy	Sasha Levy
10.1101/068916	Song Wu	Song Wu
10.1101/068916	Zhimin Liu	Zhimin Liu
10.1101/068932	Clement Rougeux	Clement Rougeux
10.1101/068932	Louis Bernatchez	Louis Bernatchez
10.1101/068932	Pierre-Alexandre Gagnaire	Pierre-Alexandre Gagnaire
10.1101/068940	Andrew White	Andrew White
10.1101/068940	Joseph Beechem	Joseph Beechem
10.1101/068940	Kunle Odunsi	Kunle Odunsi
10.1101/068940	Leonard D'Amico	Leonard D'Amico
10.1101/068940	Lucas Dennis	Lucas Dennis
10.1101/068940	Mary L Disis	Mary Disis
10.1101/068940	Melissa A Geller	Melissa Geller
10.1101/068940	Patrick Danaher	Patrick Danaher
10.1101/068940	Sarah Warren	Sarah Warren
10.1101/068940	Stephen P Fling	Stephen Fling
10.1101/068957	Brant C. Faircloth	Brant Faircloth
10.1101/068957	Bryan N. Danforth	Bryan Danforth
10.1101/068957	James P. Pitts	James Pitts
10.1101/068957	Matthew L. Buffington	Matthew Buffington
10.1101/068957	Michael G. Branstetter	Michael Branstetter
10.1101/068957	Michael W. Gates	Michael Gates
10.1101/068957	Philip S. Ward	Philip Ward
10.1101/068957	Robert R. Kula	Robert Kula
10.1101/068957	Sean G. Brady	Sean Brady
10.1101/068965	Alexander R French	Alexander French
10.1101/068965	Ronald Rock	Ronald Rock
10.1101/068965	Tobin R Sosnick	Tobin Sosnick
10.1101/068999	Barbara Rakitsch	Barbara Rakitsch
10.1101/068999	Benjamin M Neale	Benjamin Neale
10.1101/068999	Carl Johann Simon-Gabriel	Carl Simon-Gabriel
10.1101/068999	Daniel Howrigan	Daniel Howrigan
10.1101/068999	Gina M Peloso	Gina Peloso
10.1101/068999	Hailiang Huang	Hailiang Huang
10.1101/068999	Jacqueline I Goldstein	Jacqueline Goldstein
10.1101/068999	Karsten Borgwardt	Karsten Borgwardt
10.1101/068999	Mark J Daly	Mark Daly
10.1101/069005	Alex L Patto	Alex Patto
10.1101/069005	Belgin Yalcn	Belgin Yalcn
10.1101/069005	Cahir J. O'Kane	Cahir O'Kane
10.1101/069005	Lu Zhao	Lu Zhao
10.1101/069005	Mark Terasaki	Mark Terasaki
10.1101/069005	Martin Stofanko	Martin Stofanko
10.1101/069005	Niamh C O'Sullivan	Niamh O'Sullivan
10.1101/069005	Sophie Zaessinger	Sophie Zaessinger
10.1101/069005	Valentina Baena	Valentina Baena
10.1101/069005	ZiHan Kang	ZiHan Kang
10.1101/069013	Benjamin J. Ridenhour	Benjamin Ridenhour
10.1101/069013	Bert O. Baumgaertner	Bert Baumgaertner
10.1101/069013	Craig R. Miller	Craig Miller
10.1101/069013	Luis G. Nardin	Luis Nardin
10.1101/069013	Paul Joyce	Paul Joyce
10.1101/069013	Stephen M. Krone	Stephen Krone
10.1101/069021	Ali Ebrahim	Ali Ebrahim
10.1101/069021	Bernhard Palsson	Bernhard Palsson
10.1101/069021	Haythem Latif	Haythem Latif
10.1101/069021	Janna Tarasova	Janna Tarasova
10.1101/069021	Jose Utrilla	Jose Utrilla
10.1101/069021	Karsten Zengler	Karsten Zengler
10.1101/069021	Richard Szubin	Richard Szubin
10.1101/069021	Stephen Federowicz	Stephen Federowicz
10.1101/069039	Albert Libchaber	Albert Libchaber
10.1101/069039	Jean-Pierre Eckmann	Jean-Pierre Eckmann
10.1101/069039	Tsvi Tlusty	Tsvi Tlusty
10.1101/069047	Guillaume Sescousse	Guillaume Sescousse
10.1101/069047	Monique HM Timmer	Monique Timmer
10.1101/069047	Payam Piray	Payam Piray
10.1101/069047	Rianne AJ Esselink	Rianne Esselink
10.1101/069047	Roshan Cools	Roshan Cools
10.1101/069062	Guillaume Sescousse	Guillaume Sescousse
10.1101/069062	Marieke E van der Schaaf	Marieke van der Schaaf
10.1101/069062	Monique HM Timmer	Monique Timmer
10.1101/069062	Rianne AJ Esselink	Rianne Esselink
10.1101/069062	Roshan Cools	Roshan Cools
10.1101/069070	Alfonso Tenorio Mendez	Alfonso Mendez
10.1101/069070	Daniel Falush	Daniel Falush
10.1101/069070	Daniel J Lawson	Daniel Lawson
10.1101/069070	Elvire Berthenet	Elvire Berthenet
10.1101/069070	Federico Canzian	Federico Canzian
10.1101/069070	Ikuko Kato	Ikuko Kato
10.1101/069070	Javier Torres	Javier Torres
10.1101/069070	Kaisa Thorell	Kaisa Thorell
10.1101/069070	Koji Yahara	Koji Yahara
10.1101/069070	Maria Mercedes Bravo	Maria Bravo
10.1101/069070	Rumiko Suzuki	Rumiko Suzuki
10.1101/069070	Samuel K Sheppard	Samuel Sheppard
10.1101/069070	Yoshio Yamaoka	Yoshio Yamaoka
10.1101/069096	Darina Czamara	Darina Czamara
10.1101/069096	Elisabeth B. Binder	Elisabeth Binder
10.1101/069096	Fabian J. Theis	Fabian Theis
10.1101/069096	Gokcen Eraslan	Gokcen Eraslan
10.1101/069096	Jade Martins	Jade Martins
10.1101/069096	Janine Arloth	Janine Arloth
10.1101/069096	Nikola S. Mueller	Nikola Mueller
10.1101/069096	Stella Iurato	Stella Iurato
10.1101/069104	Abdollah Safari	Abdollah Safari
10.1101/069104	Mehdi Mirzaie	Mehdi Mirzaie
10.1101/069104	Mohieddin Jafari	Mohieddin Jafari
10.1101/069104	Payman Nickchi	Payman Nickchi
10.1101/069104	Soheil Jahangiri Tazehkand	Soheil Tazehkand
10.1101/069112	Simon H. Martin	Simon Martin
10.1101/069112	Steven M. Van Belleghem	Steven Van Belleghem
10.1101/069120	Andrew B West	Andrew West
10.1101/069120	Anna Moes	Anna Moes
10.1101/069120	Shannon E Ellis	Shannon Ellis
10.1101/069120	Simone Gupta	Simone Gupta
10.1101/069153	Max A. Alekseyev	Max Alekseyev
10.1101/069153	Sergey S. Aganezov	Sergey Aganezov
10.1101/069161	Benjamin J. Blencowe	Benjamin Blencowe
10.1101/069161	Carolyn L. Cummins	Carolyn Cummins
10.1101/069161	ChangJiang Xu	ChangJiang Xu
10.1101/069161	Debashish Ray	Debashish Ray
10.1101/069161	Emma Zilberman	Emma Zilberman
10.1101/069161	Gary D. Bader	Gary Bader
10.1101/069161	Henry Krause	Henry Krause
10.1101/069161	Jens Tiefenbach	Jens Tiefenbach
10.1101/069161	Lilia Magomedova	Lilia Magomedova
10.1101/069161	Manuel Irimia	Manuel Irimia
10.1101/069161	Melanie Robitaille	Melanie Robitaille
10.1101/069161	Pancharatnam Jeyasuria	Pancharatnam Jeyasuria
10.1101/069161	Rucha Patel	Rucha Patel
10.1101/069161	Serge Gueroussov	Serge Gueroussov
10.1101/069161	Stephane Angers	Stephane Angers
10.1101/069161	Timothy R. Hughes	Timothy Hughes
10.1101/069161	Veronique Voisin	Veronique Voisin
10.1101/069179	Andrew R. Dykstra	Andrew Dykstra
10.1101/069179	Ashesh D. Mehta	Ashesh Mehta
10.1101/069179	Christopher J. Honey	Christopher Honey
10.1101/069179	David M. Groppe	David Groppe
10.1101/069179	Fred A. Lado	Fred Lado
10.1101/069179	Manuel R. Mercier	Manuel Mercier
10.1101/069179	Pierre Megevand	Pierre Megevand
10.1101/069179	Stephan Bickel	Stephan Bickel
10.1101/069179	Xiuyuan Wang	Xiuyuan Wang
10.1101/069187	Daniel Zvi Bar	Daniel Bar
10.1101/069187	Francis S. Collins	Francis Collins
10.1101/069187	Kathleen Atkatsh	Kathleen Atkatsh
10.1101/069187	Michael R Erdos	Michael Erdos
10.1101/069187	Urraca Tavarez	Urraca Tavarez
10.1101/069187	Yosef Gruenbaum	Yosef Gruenbaum
10.1101/069195	Caroline Colijn	Caroline Colijn
10.1101/069195	Don Klinkenberg	Don Klinkenberg
10.1101/069195	Jacco Wallinga	Jacco Wallinga
10.1101/069195	Jantien Backer	Jantien Backer
10.1101/069195	Xavier Didelot	Xavier Didelot
10.1101/069203	David Alonso	David Alonso
10.1101/069203	Jose A Capitan	Jose Capitan
10.1101/069203	Sara Cuenda	Sara Cuenda
10.1101/069211	Anjana Jajoo	Anjana Jajoo
10.1101/069211	Gergely Nagy	Gergely Nagy
10.1101/069211	Gyozo Garab	Gyozo Garab
10.1101/069211	Joachim Kohlbrecher	Joachim Kohlbrecher
10.1101/069211	Marton Marko	Marton Marko
10.1101/069211	Otto Zsiros	Otto Zsiros
10.1101/069211	Renata Unnep	Renata Unnep
10.1101/069211	Zsolt T Horcsik	Zsolt Horcsik
10.1101/069229	Angela Christiano	Angela Christiano
10.1101/069229	Badri Vardarajan	Badri Vardarajan
10.1101/069229	Bin Xu	Bin Xu
10.1101/069229	Daniel Backenroth	Daniel Backenroth
10.1101/069229	Ekta Khurana	Ekta Khurana
10.1101/069229	Iuliana Ionita-Laza	Iuliana Ionita-Laza
10.1101/069229	Joseph Buxbaum	Joseph Buxbaum
10.1101/069229	Krzysztof Kiryluk	Krzysztof Kiryluk
10.1101/069229	Lynn Pethukova	Lynn Pethukova
10.1101/069237	Hiroyuki Miyawaki	Hiroyuki Miyawaki
10.1101/069237	Kamran Diba	Kamran Diba
10.1101/069245	Andrea Gobbi	Andrea Gobbi
10.1101/069245	Francesco Iorio	Francesco Iorio
10.1101/069245	Giuseppe Jurman	Giuseppe Jurman
10.1101/069245	Julio Saez-Rodriguez	Julio Saez-Rodriguez
10.1101/069245	Marti Bernardo Faura	Marti Faura
10.1101/069245	Thomas Cokelaer	Thomas Cokelaer
10.1101/069252	Michael C Einstein	Michael Einstein
10.1101/069252	Peyman Golshani	Peyman Golshani
10.1101/069252	Pierre-Olivier Polack	Pierre-Olivier Polack
10.1101/069260	Edo Kussell	Edo Kussell
10.1101/069260	Takashi Nozoe	Takashi Nozoe
10.1101/069260	Yuichi Wakamoto	Yuichi Wakamoto
10.1101/069278	Andre M Cravo	Andre Cravo
10.1101/069278	Fernanda Dantas Bueno	Fernanda Bueno
10.1101/069278	Marcelo B Reyes	Marcelo Reyes
10.1101/069278	Marcelo Salvador Caetano	Marcelo Caetano
10.1101/069278	Raphael Y Camargo	Raphael Camargo
10.1101/069278	Vanessa Carneiro Morita	Vanessa Morita
10.1101/069286	Elliot G Aguilar	Elliot Aguilar
10.1101/069286	Erol Akcay	Erol Akcay
10.1101/069294	Alex R Gunderson	Alex Gunderson
10.1101/069294	D. Luke Mahler	D. Mahler
10.1101/069294	Manuel Leal	Manuel Leal
10.1101/069302	Atsushi Niida	Atsushi Niida
10.1101/069302	Koshi Mimori	Koshi Mimori
10.1101/069302	Ryutaro Uchi	Ryutaro Uchi
10.1101/069302	Satoru Miyano	Satoru Miyano
10.1101/069302	Teppei Shimamura	Teppei Shimamura
10.1101/069302	Yusuke Matsui	Yusuke Matsui
10.1101/069310	Chris Brackley	Chris Brackley
10.1101/069310	Davide Marenduzzo	Davide Marenduzzo
10.1101/069310	Davide Michieletto	Davide Michieletto
10.1101/069310	Jim Allan	Jim Allan
10.1101/069310	Oliver Henrich	Oliver Henrich
10.1101/069310	Yair Augusto Gutierrez Fosado	Yair Fosado
10.1101/069336	Carolin Mueller	Carolin Mueller
10.1101/069336	Christin Naumann	Christin Naumann
10.1101/069336	Daan Weits	Daan Weits
10.1101/069336	Emily Flashman	Emily Flashman
10.1101/069336	James Wickens	James Wickens
10.1101/069336	Maria Klecker	Maria Klecker
10.1101/069336	Mark D White	Mark White
10.1101/069336	Nico Dissmeyer	Nico Dissmeyer
10.1101/069336	Rebecca O Neill	Rebecca Neill
10.1101/069336	Richard Hopkinson	Richard Hopkinson
10.1101/069336	Tom N Grossmann	Tom Grossmann
10.1101/069344	Aarno Palotie	Aarno Palotie
10.1101/069344	Andrew M. McIntosh	Andrew McIntosh
10.1101/069344	Conrad Iyegbe	Conrad Iyegbe
10.1101/069344	Daniel Geschwind	Daniel Geschwind
10.1101/069344	David Curtis	David Curtis
10.1101/069344	Douglas Blackwood	Douglas Blackwood
10.1101/069344	Elliott Rees	Elliott Rees
10.1101/069344	Elvira Bramon	Elvira Bramon
10.1101/069344	Georg Kirov	Georg Kirov
10.1101/069344	Jaana Suvisaari	Jaana Suvisaari
10.1101/069344	James T. R. Walters	James Walters
10.1101/069344	Jeffrey C. Barrett	Jeffrey Barrett
10.1101/069344	Mandy Johnstone	Mandy Johnstone
10.1101/069344	Marta Di Forti	Marta Di Forti
10.1101/069344	Michael C. O'Donovan	Michael O'Donovan
10.1101/069344	Michael J. Owen	Michael Owen
10.1101/069344	Minna Torniainen	Minna Torniainen
10.1101/069344	Robin M. Murray	Robin Murray
10.1101/069344	Tarjinder Singh	Tarjinder Singh
10.1101/069351	Erik Larsson	Erik Larsson
10.1101/069351	Johan Fredriksson	Johan Fredriksson
10.1101/069369	Brian Wandell	Brian Wandell
10.1101/069369	Michal Ben-Shachar	Michal Ben-Shachar
10.1101/069369	Nathan Witthoft	Nathan Witthoft
10.1101/069369	Rosemary Le	Rosemary Le
10.1101/069377	Eiji Nagayasu	Eiji Nagayasu
10.1101/069377	John Murray	John Murray
10.1101/069377	Jun Liu	Jun Liu
10.1101/069377	Ke Hu	Ke Hu
10.1101/069377	Yu-chen Hwang	Yu-chen Hwang
10.1101/069385	Christopher J. Gregg	Christopher Gregg
10.1101/069385	Daniel B. Goodman	Daniel Goodman
10.1101/069385	Dieter Soll	Dieter Soll
10.1101/069385	Farren J. Isaacs	Farren Isaacs
10.1101/069385	George M. Church	George Church
10.1101/069385	Gleb Kuznetsov	Gleb Kuznetsov
10.1101/069385	Joshua A. Mosberg	Joshua Mosberg
10.1101/069385	Lakshmi N. Govindarajan	Lakshmi Govindarajan
10.1101/069385	Marc J Lajoie	Marc Lajoie
10.1101/069385	Matthieu Landon	Matthieu Landon
10.1101/069385	Michael G Napolitano	Michael Napolitano
10.1101/069385	Oscar Vargas-Rodriguez	Oscar Vargas-Rodriguez
10.1101/069393	Caroline Ghiossi	Caroline Ghiossi
10.1101/069393	Gabriel A Lazarin	Gabriel Lazarin
10.1101/069393	Imran S Haque	Imran Haque
10.1101/069393	James D Goldberg	James Goldberg
10.1101/069393	Kenny K Wong	Kenny Wong
10.1101/069427	Liam D. Bailey	Liam Bailey
10.1101/069427	Martijn van de Pol	Martijn van de Pol
10.1101/069443	Brian A Wandell	Brian Wandell
10.1101/069443	David A Leopold	David Leopold
10.1101/069443	Franco Pestilli	Franco Pestilli
10.1101/069443	Frank Q Ye	Frank Ye
10.1101/069443	Georgios A Keliris	Georgios Keliris
10.1101/069443	Hiromasa Takemura	Hiromasa Takemura
10.1101/069443	Julia Sliwa	Julia Sliwa
10.1101/069443	Kevin S Weiner	Kevin Weiner
10.1101/069443	Michael A Barnett	Michael Barnett
10.1101/069443	Nikos K Logothetis	Nikos Logothetis
10.1101/069443	Sofia M Landi	Sofia Landi
10.1101/069443	Winrich A Freiwald	Winrich Freiwald
10.1101/069450	Aurelien A. Serandour	Aurelien Serandour
10.1101/069450	Igor Chernukhin	Igor Chernukhin
10.1101/069450	Jason S. Carroll	Jason Carroll
10.1101/069450	Kamila M. Jozwik	Kamila Jozwik
10.1101/069450	Sankari Nagarajan	Sankari Nagarajan
10.1101/069468	Timothy Kassis	Timothy Kassis
10.1101/069484	Benjamin J Tully	Benjamin Tully
10.1101/069484	Elaina D Graham	Elaina Graham
10.1101/069484	John F Heidelberg	John Heidelberg
10.1101/069484	Rohan Sachdeva	Rohan Sachdeva
10.1101/069492	David J Edwards	David Edwards
10.1101/069492	Edward C Holmes	Edward Holmes
10.1101/069492	Francois-Xavier Weill	Francois-Xavier Weill
10.1101/069492	Jane Hawkey	Jane Hawkey
10.1101/069492	Kathryn E Holt	Kathryn Holt
10.1101/069492	Mathieu Fourment	Mathieu Fourment
10.1101/069492	Sebastian Duchene	Sebastian Duchene
10.1101/069492	Simon Le Hello	Simon Le Hello
10.1101/069500	Ramon Diaz-Uriarte	Ramon Diaz-Uriarte
10.1101/069518	Amaury Lambert	Amaury Lambert
10.1101/069518	Helene Morlon	Helene Morlon
10.1101/069518	Marc Manceau	Marc Manceau
10.1101/069526	G Sampath	G Sampath
10.1101/069534	Andrew S Allen	Andrew Allen
10.1101/069534	Chaitanya R Acharya	Chaitanya Acharya
10.1101/069534	Kouros Owzar	Kouros Owzar
10.1101/069542	Christopher M Jakobson	Christopher Jakobson
10.1101/069542	Danielle Tullman-Ercek	Danielle Tullman-Ercek
10.1101/069542	Marilyn F. Slininger	Marilyn Slininger
10.1101/069542	Niall M. Mangan	Niall Mangan
10.1101/069559	James M. Berger	James Berger
10.1101/069559	Lea B. Witkowsky	Lea Witkowsky
10.1101/069559	Michael R. Lawson	Michael Lawson
10.1101/069559	Nathan D. Thomsen	Nathan Thomsen
10.1101/069559	Song Qu	Song Qu
10.1101/069567	Benjamin Tully	Benjamin Tully
10.1101/069567	Elaina Graham	Elaina Graham
10.1101/069567	John Heidelberg	John Heidelberg
10.1101/069575	Bohdan Khomtchouk	Bohdan Khomtchouk
10.1101/069575	Claes Wahlestedt	Claes Wahlestedt
10.1101/069575	Kasra A. Vand	Kasra Vand
10.1101/069575	Kelly Khomtchouk	Kelly Khomtchouk
10.1101/069575	Mohammed K. Sayed	Mohammed Sayed
10.1101/069575	Thor Wahlestedt	Thor Wahlestedt
10.1101/069591	Genxi Zhang	Genxi Zhang
10.1101/069591	Jinyu Wang	Jinyu Wang
10.1101/069591	Kaizhou Xie	Kaizhou Xie
10.1101/069591	Kunpeng Han	Kunpeng Han
10.1101/069591	Qian Xue	Qian Xue
10.1101/069591	Tao Zhang	Tao Zhang
10.1101/069591	Xiangqian Zhang	Xiangqian Zhang
10.1101/069609	Yuri Kamnev	Yuri Kamnev
10.1101/069617	Amy Johnson	Amy Johnson
10.1101/069617	Duncan Edward Astle	Duncan Astle
10.1101/069617	Joe Bathelt	Joe Bathelt
10.1101/069617	Susan Elizabeth Gathercole	Susan Gathercole
10.1101/069625	Chengshu Zhou	Chengshu Zhou
10.1101/069625	Gengyun Zhang	Gengyun Zhang
10.1101/069625	Guangyu Fan	Guangyu Fan
10.1101/069625	Haitao Xiang	Haitao Xiang
10.1101/069625	Hongfeng Zou	Hongfeng Zou
10.1101/069625	Houbao Zhang	Houbao Zhang
10.1101/069625	Hui Li	Hui Li
10.1101/069625	Ning Li	Ning Li
10.1101/069625	Ping Huang	Ping Huang
10.1101/069625	Qingchun Chen	Qingchun Chen
10.1101/069625	Qiuju Xia	Qiuju Xia
10.1101/069625	Shu Cheng	Shu Cheng
10.1101/069625	Tao Guo	Tao Guo
10.1101/069625	Xiaoming Wang	Xiaoming Wang
10.1101/069625	Xuejing Lei	Xuejing Lei
10.1101/069625	Xuemei Cai	Xuemei Cai
10.1101/069625	Xuemei NI	Xuemei NI
10.1101/069625	Zhihai Zhao	Zhihai Zhao
10.1101/069625	Zhiwu Quan	Zhiwu Quan
10.1101/069633	Aaron T L Lun	Aaron Lun
10.1101/069633	Davis J McCarthy	Davis McCarthy
